category,text
non-meeting,The office will be painted during the upcoming holiday weekend.
meeting,The team performance review will take place at 11:30 AM Monday.
meeting,Please attend the security awareness refresher meeting at 3:15 PM in Training.
meeting,The new market opportunity assessment will take place at 10 AM in the growth strategy room.
non-meeting,We've updated our policy on accepting gifts from vendors.
meeting,The diversity recruitment strategy session will take place at 9 AM in the talent acquisition center.
non-meeting,We've updated our anti-harassment policy; training scheduled.
meeting,Please bring your process documentation to the workflow meeting at 1:15 PM Thursday.
meeting,Please attend the security awareness training meeting at 2:15 PM in Room 201.
non-meeting,Your project budget increase has been approved by finance.
meeting,The product roadmap meeting will begin at 10:30 AM in the innovation lab.
non-meeting,Company volunteer day scheduled for next quarter.
non-meeting,The shuttle bus schedule has been adjusted for the winter months.
non-meeting,We've revised our business travel policy; please review the changes.
meeting,Please bring process documentation to the workflow optimization meeting at 2:30 PM tomorrow.
non-meeting,Reminder: Complete your timesheet by Friday 5 PM.
meeting,The product quality metrics review will start at 3:30 PM in the excellence measurement center.
meeting,All team members must join the skills assessment meeting at 1:30 PM tomorrow.
meeting,The annual technology assessment is scheduled for 4 PM in the innovation lab.
non-meeting,Important update about upcoming regulatory changes affecting our industry.
non-meeting,The employee discount program now includes additional vendors.
meeting,The product demo meeting with potential clients will take place at 4:15 PM.
non-meeting,We're excited to announce the launch of our new product line.
meeting,The annual performance review meetings will be scheduled throughout next month.
non-meeting,Important announcement regarding company acquisition plans.
non-meeting,Reminder: Complete customer satisfaction follow-up calls.
meeting,Please prepare your team updates for the status meeting at 4:15 PM tomorrow.
non-meeting,New phone system features now available. Quick guide attached.
non-meeting,Reminder: Complete mandatory ethics training by month end.
meeting,The annual performance review calibration will begin at 2 PM in the talent assessment center.
non-meeting,We've updated our remote work equipment reimbursement policy.
non-meeting,We're looking for peer reviewers for technical documentation.
non-meeting,Reminder: Submit suggestions for the employee handbook update.
meeting,We're organizing a workflow optimization meeting at 1:15 PM in Operations.
meeting,We're holding a social media strategy meeting at 4 PM in the marketing conference room.
non-meeting,We've changed our process for ordering business cards.
non-meeting,The company picnic has been rescheduled due to the weather forecast.
meeting,Please prepare your project updates for the steering committee meeting at 1 PM tomorrow.
meeting,Please bring your market research findings to the planning meeting at 1:15 PM.
meeting,The customer feedback analysis meeting will begin at 3:30 PM in the voice of customer center.
non-meeting,We're introducing a new mentorship program for junior employees.
meeting,Please attend the training program development meeting at 3:15 PM in HR.
meeting,We need to discuss the marketing campaign results at 3 PM in the creative room.
non-meeting,We're proud to announce our company has been listed in the Top 100 Employers.
non-meeting,Annual employee award nominations now being accepted.
non-meeting,The WiFi network will be down for maintenance this Saturday from 10am-2pm.
non-meeting,Please update your skills profile for project assignment optimization.
non-meeting,We've changed our corporate travel booking process; details attached.
non-meeting,We're implementing a new electronic timesheet system next month.
meeting,The product launch meeting is scheduled for 10:30 AM in Conference Room G tomorrow.
non-meeting,Please complete the IT needs assessment survey.
non-meeting,Your license for design software will expire in 14 days.
non-meeting,Your requested software upgrade has been completed.
non-meeting,Changes to the sales commission structure. Details in attached document.
non-meeting,Reminder: Complete your annual self-assessment by next Friday.
meeting,The customer advisory panel meeting will take place at 10:15 AM in the experience center.
non-meeting,Reminder: Complete your annual health assessment for insurance discount.
meeting,Your department's risk assessment review is scheduled for 4 PM in the compliance planning room.
non-meeting,The company has been awarded a new government contract.
meeting,Please bring personnel requests to the budget meeting at 4:30 PM tomorrow.
meeting,We need to meet regarding the customer satisfaction metrics at 4:15 PM in Room 303.
meeting,Please bring your performance indicators to the metrics meeting at 4:15 PM Monday.
meeting,The board committee meeting will take place at 9:45 AM in the executive boardroom.
non-meeting,We're upgrading to the latest version of Microsoft Office next month.
meeting,The customer retention strategy meeting will begin at 10:30 AM in Conference Room E.
meeting,The quarterly forecast meeting will begin at 9 AM in the finance conference room.
meeting,You're invited to join the customer experience workshop at 11 AM in the design thinking space.
non-meeting,Your product demonstration materials have been prepared.
non-meeting,We're implementing a new digital asset management system next month.
non-meeting,Office temperature adjustments scheduled for next week.
meeting,The annual budget meeting is scheduled for 12:45 PM Monday.
meeting,The customer feedback session starts at 10 AM in the experience center.
non-meeting,Office relocation timeline updated. Move dates confirmed for July.
non-meeting,New employee referral bonus program now in effect.
non-meeting,Your approved overtime hours have been added to payroll.
non-meeting,Your request for a standing desk has been approved by facilities.
non-meeting,Office move timeline finalized. Department schedules attached.
non-meeting,Reminder: Return borrowed books to the company library.
meeting,Reminder: Cross-functional team meeting at 11:30 AM in the collaboration space.
meeting,All team members should join the retrospective meeting at 1:30 PM Friday.
non-meeting,Building security enhancement project starts next week.
non-meeting,Changes to the telecommunications expense reimbursement policy.
meeting,The quarterly earnings meeting will begin at 4:35 PM in the main hall.
meeting,The product feature prioritization meeting will begin at 8:15 AM in the product lab.
non-meeting,We've updated our corporate email signature template; please apply it.
non-meeting,We've updated our expense reimbursement limits; details attached.
non-meeting,The company-wide strategic planning results are now available.
non-meeting,We're implementing a new electronic document signing process.
non-meeting,The company vehicle fleet has been upgraded with hybrid models.
meeting,Please attend the customer support quality assessment at 2:30 PM in the service excellence center.
non-meeting,The parking validation system will be updated this weekend.
non-meeting,We're implementing a new learning management system next quarter.
meeting,The recruitment strategy meeting is set for 8:15 AM in the HR conference room.
non-meeting,Your professional development plan has been approved.
non-meeting,We're implementing a new corporate learning platform next month.
meeting,Please bring user research findings to the 3:45 PM product planning meeting.
meeting,Please prepare your department metrics for the performance meeting at 2:45 PM Monday.
non-meeting,Reminder: Complete your health assessment for insurance discount.
non-meeting,Your project has been selected for company showcase event.
meeting,Please attend the project timeline meeting at 10:55 AM Wednesday.
non-meeting,Please complete the IT security awareness training by the end of the month.
non-meeting,Your team's performance metrics for the quarter have been published.
non-meeting,New equipment training sessions available next week. Sign up now!
non-meeting,Reminder: Complete your health assessment for insurance discount.
non-meeting,Your certification is expiring next month. Please schedule your renewal.
non-meeting,The company's environmental impact report is now available.
meeting,We're having a project status meeting at 2:05 PM tomorrow.
non-meeting,The annual report has been finalized and is available for review.
non-meeting,Please submit your desk location preference for the upcoming move.
meeting,The security awareness training starts at 10:45 AM in the company auditorium.
non-meeting,Please clean your workspace before the office deep cleaning this weekend.
non-meeting,Your project documentation has been archived in the knowledge base.
non-meeting,We're implementing a new customer relationship management system.
non-meeting,The building access hours have been extended during the project crunch.
meeting,We need to align on the customer support strategy at 4:30 PM in the service excellence center.
non-meeting,Your travel arrangements for the client visit have been confirmed.
non-meeting,Your access to the customer database has been provisioned.
meeting,Please prepare a summary for the executive briefing meeting at 3:30 PM tomorrow.
meeting,The crisis management meeting is scheduled for 3:35 PM today.
non-meeting,We've created a new shared drive for cross-team collaboration.
meeting,The website performance optimization meeting is scheduled for 4:30 PM in the digital experience lab.
meeting,Please attend the security protocol review meeting at 4:30 PM with the IT team.
